관측지점별(1),평균기온 (℃),평균최고기온 (℃),평균최저기온 (℃),최고기온 (℃),최고기온일자,최저기온 (℃),최저기온일자,합계강수량 (mm),평균풍속 (m/s),최대풍속 (m/s),최대풍속일자,최대순간풍속 (m/s),최대순간풍속일자,평균상대습도 (%),최소상대습도 (%),최소상대습도일자,평균이슬점온도 (℃),평균증기압 (hPa),합계일조시간 (hr),합계수평면일사 (MJ/㎡),평균전운량 (할),평균현지기압 (hPa),평균해면기압 (hPa),최고해면기압 (hPa),최고해면기압일자,최저해면기압 (hPa),최저해면기압일자,평균지면온도 (℃)
인천,17.0,20.9,13.5,25.2,2024-10-17,8.5,2024-10-24,82.1,2.2,8.8,2024-10-22,14.9,2024-10-23,70,29,2024-10-25,11.0,13.4,180.7,374.10,4.5,"1,011.7","1,019.9","1,032.8",2024-10-20,"1,009.0",2024-10-01,17.6
원주,15.7,20.8,11.6,24.0,2024-10-17,6.4,2024-10-25,116.2,0.6,4.2,2024-10-23,9.3,2024-10-23,75,25,2024-10-02,10.8,13.2,156.6,346.09,5.5,"1,002.7","1,020.4","1,034.2",2024-10-20,"1,009.5",2024-10-22,17.2
울릉도,17.7,20.5,15.2,25.2,2024-10-01,10.0,2024-10-20,227.2,3.8,15.3,2024-10-19,26.3,2024-10-19,80,52,2024-10-02,14.0,16.3,113.3,278.73,6.2,994.0,"1,019.8","1,035.2",2024-10-20,"1,004.7",2024-10-23,17.5
수원,16.1,21.1,11.6,24.8,2024-10-17,5.6,2024-10-24,97.2,1.6,6.8,2024-10-20,12.9,2024-10-23,72,27,2024-10-02,10.6,13.0,174.0,363.49,4.7,"1,015.3","1,020.1","1,033.4",2024-10-20,"1,009.5",2024-10-18,18.0
영월,14.6,20.6,10.5,23.9,2024-10-09,6.0,2024-10-31,120.5,0.8,6.2,2024-10-23,12.3,2024-10-20,82,28,2024-10-02,11.0,13.4,135.6,-,6.3,992.4,"1,020.8","1,034.8",2024-10-20,"1,008.9",2024-10-23,15.9
충주,15.1,20.8,10.5,24.3,2024-10-17,5.8,2024-10-25,122.8,1.1,6.5,2024-10-19,12.4,2024-10-19,81,31,2024-10-12,11.4,13.7,147.6,335.21,5.7,"1,006.0","1,019.7","1,033.1",2024-10-20,"1,007.8",2024-10-19,17.7
서산,16.1,21.3,11.6,25.5,2024-10-17,5.3,2024-10-24,150.3,1.6,7.3,2024-10-20,11.1,2024-10-20,78,30,2024-10-02,11.7,14.0,172.2,361.52,4.9,"1,017.0","1,020.0","1,031.9",2024-10-20,"1,008.1",2024-10-18,17.3
울진,16.6,21.0,12.8,27.3,2024-10-01,9.3,2024-10-25,77.3,1.9,8.5,2024-10-23,19.8,2024-10-23,79,39,2024-10-24,12.6,14.9,144.7,-,6.0,"1,014.4","1,020.3","1,035.6",2024-10-20,"1,005.4",2024-10-23,16.6
청주,16.9,21.4,13.2,25.6,2024-10-17,8.6,2024-10-24,112.7,1.3,7.0,2024-10-20,13.0,2024-10-20,71,24,2024-10-02,11.2,13.6,138.8,339.17,5.5,"1,012.8","1,019.8","1,032.5",2024-10-20,"1,008.9",2024-10-19,18.8
대전,16.3,21.5,12.1,25.3,2024-10-17,6.4,2024-10-24,109.2,1.5,7.5,2024-10-20,15.6,2024-10-20,80,27,2024-10-02,12.3,14.6,147.0,340.01,5.5,"1,012.0","1,020.1","1,032.4",2024-10-20,"1,009.3",2024-10-19,17.5
추풍령,14.4,19.7,9.9,23.4,2024-10-01,4.8,2024-10-25,74.9,1.9,8.8,2024-10-23,16.9,2024-10-23,81,30,2024-10-02,10.9,13.4,139.0,305.51,5.8,991.3,"1,020.3","1,033.4",2024-10-20,"1,009.4",2024-10-01,16.3
안동,15.4,21.0,11.3,24.8,2024-10-16,4.8,2024-10-24,62.5,1.0,6.1,2024-10-23,12.0,2024-10-23,83,34,2024-10-02,12.2,14.5,128.0,330.36,6.5,"1,004.4","1,021.2","1,035.1",2024-10-20,"1,009.0",2024-10-01,18.0
상주,15.2,20.9,10.8,24.7,2024-10-12,4.7,2024-10-25,95.2,0.7,5.1,2024-10-23,11.5,2024-10-23,83,25,2024-10-02,12.1,14.4,141.3,338.72,6.2,"1,008.2","1,019.6","1,033.4",2024-10-20,"1,008.7",2024-10-01,17.5
포항,18.5,21.8,15.3,29.0,2024-10-01,10.3,2024-10-24,132.9,2.8,10.8,2024-10-19,17.3,2024-10-19,71,26,2024-10-12,12.9,15.2,137.2,313.90,6.2,"1,019.3","1,019.8","1,033.6",2024-10-20,"1,007.2",2024-10-01,18.6
군산,16.7,21.4,12.8,25.7,2024-10-17,6.5,2024-10-24,111.6,1.6,10.2,2024-10-23,15.4,2024-10-23,81,28,2024-10-02,13.0,15.3,152.7,-,5.3,"1,017.1","1,020.4","1,031.2",2024-10-20,"1,010.2",2024-10-18,18.3
대구,17.0,21.8,13.0,28.2,2024-10-01,7.6,2024-10-24,94.9,1.7,7.4,2024-10-23,13.1,2024-10-23,76,26,2024-10-02,12.3,14.6,148.1,347.70,5.9,"1,013.4","1,019.8","1,032.9",2024-10-20,"1,007.6",2024-10-01,18.6
전주,17.4,22.4,13.1,26.9,2024-10-17,7.2,2024-10-24,80.2,1.2,5.8,2024-10-22,10.9,2024-10-23,78,32,2024-10-02,13.0,15.3,169.1,343.17,5.4,"1,012.5","1,019.6","1,030.2",2024-10-20,"1,009.5",2024-10-18,18.6
울산,17.8,21.9,14.3,29.1,2024-10-01,9.8,2024-10-24,174.3,2.1,6.2,2024-10-19,13.1,2024-10-19,76,28,2024-10-02,13.1,15.5,121.7,316.49,6.5,"1,009.4","1,019.0","1,032.1",2024-10-20,"1,006.5",2024-10-01,18.1
창원,18.8,23.3,15.1,29.0,2024-10-01,10.9,2024-10-24,200.4,1.7,6.4,2024-10-20,13.1,2024-10-19,74,30,2024-10-02,13.6,16.0,153.0,365.67,5.9,"1,014.9","1,019.0","1,031.4",2024-10-20,"1,007.5",2024-10-01,20.7
광주,17.7,22.6,13.7,27.3,2024-10-18,8.7,2024-10-25,98.2,1.2,5.4,2024-10-18,10.5,2024-10-18,75,31,2024-10-02,12.8,15.1,156.1,387.53,5.8,"1,011.2","1,019.5","1,029.7",2024-10-20,"1,010.5",2024-10-18,18.9
부산,19.5,23.8,16.4,28.7,2024-10-01,10.8,2024-10-24,208.8,3.1,12.6,2024-10-18,19.9,2024-10-18,71,26,2024-10-02,13.9,16.3,136.3,355.89,6.4,"1,010.6","1,018.8","1,030.8",2024-10-20,"1,007.3",2024-10-01,19.8
통영,19.1,23.3,15.7,27.6,2024-10-19,8.8,2024-10-24,216.1,-,10.6,2024-10-18,17.1,2024-10-18,73,30,2024-10-02,13.8,16.2,150.7,369.05,6.0,"1,014.9","1,018.6","1,030.4",2024-10-20,"1,007.7",2024-10-01,19.8
목포,18.2,22.0,15.0,26.1,2024-10-18,10.5,2024-10-25,142.1,3.1,12.7,2024-10-01,17.3,2024-10-01,77,39,2024-10-24,13.9,16.3,148.6,359.89,6.0,"1,014.1","1,019.4","1,029.2",2024-10-20,"1,010.7",2024-10-18,19.8
여수,19.2,22.1,16.5,27.9,2024-10-01,10.7,2024-10-24,176.3,4.4,12.8,2024-10-18,20.5,2024-10-20,70,26,2024-10-02,13.2,15.6,176.3,401.52,5.8,"1,011.2","1,018.9","1,030.3",2024-10-20,"1,008.4",2024-10-01,19.3
흑산도,18.9,22.0,16.8,24.9,2024-10-01,14.4,2024-10-24,106.0,5.7,16.7,2024-10-01,20.7,2024-10-23,76,42,2024-10-04,14.4,16.7,141.7,346.82,6.2,"1,010.4","1,019.2","1,031.1",2024-10-20,"1,009.8",2024-10-18,20.5
완도,18.8,24.1,15.2,27.9,2024-10-18,10.6,2024-10-24,123.1,2.2,8.5,2024-10-22,15.6,2024-10-23,77,33,2024-10-24,14.4,16.8,131.9,356.12,6.4,"1,015.0","1,019.1","1,029.4",2024-10-20,"1,009.6",2024-10-01,19.5
고창,16.5,22.0,11.7,26.0,2024-10-17,6.0,2024-10-25,89.2,2.1,10.0,2024-10-18,16.5,2024-10-18,83,34,2024-10-02,13.1,15.4,157.2,369.46,5.5,"1,013.1","1,019.3","1,029.3",2024-10-20,"1,010.0",2024-10-18,18.3
순천,15.2,21.6,10.4,25.3,2024-10-01,4.1,2024-10-25,119.7,1.2,6.4,2024-10-01,12.7,2024-10-01,85,30,2024-10-24,12.2,14.6,155.5,-,6.2,998.9,"1,018.4","1,029.0",2024-10-20,"1,008.6",2024-10-01,18.4
홍성,15.6,21.2,10.4,24.6,2024-10-17,4.9,2024-10-24,113.8,1.0,6.5,2024-10-20,10.5,2024-10-20,81,29,2024-10-02,11.8,14.1,168.0,341.06,5.3,"1,016.9","1,020.2","1,032.4",2024-10-20,"1,009.2",2024-10-18,17.9
서청주,15.2,21.0,10.3,24.5,2024-10-17,4.8,2024-10-24,112.0,1.3,7.5,2024-10-20,11.8,2024-10-20,84,28,2024-10-02,12.0,14.3,136.4,332.83,5.6,"1,016.2","1,020.1","1,032.7",2024-10-20,"1,009.1",2024-10-19,16.9
제주,20.9,23.8,18.3,31.3,2024-10-18,14.5,2024-10-24,135.2,3.2,10.3,2024-10-01,18.0,2024-10-20,69,36,2024-10-24,14.8,17.2,88.0,262.58,7.7,"1,015.8","1,018.2","1,027.5",2024-10-20,"1,008.8",2024-10-01,21.2
고산,20.3,23.1,17.7,27.9,2024-10-01,13.5,2024-10-25,110.4,5.4,21.4,2024-10-23,25.0,2024-10-23,74,44,2024-10-30,15.4,17.9,133.4,391.45,6.8,"1,009.5","1,017.8","1,026.1",2024-10-20,"1,008.7",2024-10-01,21.0
성산,20.8,23.7,18.0,28.8,2024-10-01,12.8,2024-10-23,149.2,3.4,11.3,2024-10-20,19.6,2024-10-20,77,44,2024-10-02,16.5,19.1,105.8,-,7.3,"1,016.1","1,018.4","1,027.7",2024-10-20,"1,009.3",2024-10-01,20.6
서귀포,21.7,25.3,18.9,30.0,2024-10-01,14.2,2024-10-24,126.0,2.4,7.7,2024-10-25,14.2,2024-10-25,72,24,2024-10-24,16.0,18.7,146.1,377.22,7.2,"1,011.8","1,017.8","1,027.7",2024-10-20,"1,008.8",2024-10-01,22.2
진주,16.9,22.8,11.9,28.7,2024-10-01,5.3,2024-10-24,151.0,0.6,3.9,2024-10-23,9.4,2024-10-19,80,21,2024-10-02,13.0,15.3,176.5,373.15,6.0,"1,016.1","1,019.5","1,032.0",2024-10-20,"1,008.2",2024-10-01,20.7
강화,14.9,20.1,10.0,24.2,2024-10-17,4.9,2024-10-24,41.9,1.4,6.7,2024-10-18,12.6,2024-10-23,79,28,2024-10-02,10.8,13.2,183.6,-,4.3,"1,015.2","1,020.9","1,034.1",2024-10-20,"1,009.6",2024-10-01,16.3
양평,15.2,20.6,11.2,23.6,2024-10-12,6.5,2024-10-24,105.0,0.9,5.2,2024-10-23,10.7,2024-10-23,80,29,2024-10-25,11.2,13.6,141.9,-,5.3,"1,015.1","1,020.7","1,034.6",2024-10-20,"1,010.1",2024-10-23,17.7
이천,14.8,20.9,10.1,24.2,2024-10-09,4.4,2024-10-25,137.7,0.6,4.4,2024-10-20,9.1,2024-10-23,86,30,2024-10-02,12.0,14.3,120.1,-,5.7,"1,011.7","1,021.3","1,035.0",2024-10-20,"1,010.5",2024-10-19,16.1
인제,13.8,20.0,9.5,24.7,2024-10-16,4.1,2024-10-21,89.5,1.1,6.5,2024-10-23,13.5,2024-10-19,82,32,2024-10-02,10.4,12.8,110.1,-,5.6,997.2,"1,021.2","1,035.4",2024-10-20,"1,007.9",2024-10-23,16.2
홍천,14.1,20.3,10.0,24.3,2024-10-17,4.9,2024-10-21,106.2,0.7,5.1,2024-10-19,10.3,2024-10-23,81,29,2024-10-02,10.5,12.9,114.5,-,5.7,"1,004.4","1,021.1","1,034.9",2024-10-20,"1,009.4",2024-10-23,16.7
태백,11.9,18.2,6.8,23.4,2024-10-12,0.4,2024-10-24,149.8,1.2,5.9,2024-10-19,13.7,2024-10-23,82,20,2024-10-24,8.4,11.3,57.4,180.80,6.3,938.2,"1,020.8","1,036.9",2024-10-20,"1,006.5",2024-10-23,12.8
정선군,13.5,21.0,9.0,25.3,2024-10-05,3.6,2024-10-31,156.2,1.0,5.7,2024-10-23,13.0,2024-10-23,80,22,2024-10-02,9.6,12.2,114.6,-,6.7,984.3,"1,021.1","1,035.8",2024-10-20,"1,007.7",2024-10-23,14.2
제천,13.5,19.7,8.5,22.8,2024-10-26,3.7,2024-10-25,114.1,0.9,6.0,2024-10-19,10.9,2024-10-23,86,33,2024-10-04,10.8,13.2,136.6,-,6.0,989.3,"1,020.7","1,034.8",2024-10-20,"1,009.1",2024-10-23,16.5
보은,14.5,20.1,9.9,23.3,2024-10-12,4.4,2024-10-25,99.4,0.9,5.4,2024-10-18,10.8,2024-10-20,86,31,2024-10-02,11.7,14.0,136.0,-,6.0,"1,000.0","1,020.3","1,032.9",2024-10-20,"1,009.3",2024-10-19,16.7
천안,14.9,20.6,10.3,24.0,2024-10-17,4.7,2024-10-25,99.7,1.0,6.9,2024-10-20,11.3,2024-10-20,84,29,2024-10-02,11.8,14.2,146.4,-,5.6,"1,010.4","1,020.5","1,033.3",2024-10-20,"1,009.4",2024-10-19,17.0
보령,17.0,22.3,12.8,26.3,2024-10-17,6.9,2024-10-24,58.3,1.6,7.2,2024-10-18,12.0,2024-10-18,77,31,2024-10-02,12.6,14.9,152.3,337.34,5.0,"1,017.9","1,019.1","1,029.7",2024-10-20,"1,008.2",2024-10-18,18.1
부여,15.8,21.4,11.2,25.3,2024-10-17,5.4,2024-10-24,84.5,0.6,4.1,2024-10-20,7.2,2024-10-20,84,28,2024-10-02,12.6,14.9,140.0,-,5.4,"1,018.4","1,020.0","1,031.6",2024-10-20,"1,009.7",2024-10-18,18.8
금산,15.2,21.2,10.6,25.0,2024-10-16,5.2,2024-10-25,81.0,0.8,5.5,2024-10-20,10.8,2024-10-20,86,29,2024-10-02,12.3,14.7,126.7,-,6.3,999.5,"1,019.9","1,031.9",2024-10-20,"1,009.1",2024-10-19,17.7
세종,15.7,20.7,11.9,24.3,2024-10-17,6.2,2024-10-24,97.1,1.1,6.2,2024-10-20,11.1,2024-10-20,83,29,2024-10-02,12.3,14.7,120.5,314.76,5.6,"1,009.3","1,019.9","1,032.1",2024-10-20,"1,008.9",2024-10-19,17.7
부안,16.8,22.0,12.4,26.1,2024-10-17,6.6,2024-10-24,71.6,1.0,5.5,2024-10-23,11.4,2024-10-23,80,30,2024-10-02,12.9,15.2,152.2,-,5.6,"1,018.3","1,019.7","1,030.2",2024-10-20,"1,009.9",2024-10-18,18.4
임실,15.3,21.5,10.3,25.3,2024-10-16,3.8,2024-10-25,83.1,0.8,5.5,2024-10-20,11.3,2024-10-20,83,35,2024-10-02,12.0,14.3,147.7,-,5.8,990.4,"1,019.4","1,029.9",2024-10-20,"1,009.7",2024-10-18,17.5
정읍,16.7,22.2,12.1,26.3,2024-10-17,5.8,2024-10-25,87.8,1.6,7.6,2024-10-14,11.8,2024-10-14,81,30,2024-10-02,13.0,15.4,156.3,346.38,5.7,"1,011.4","1,019.6","1,029.7",2024-10-20,"1,009.6",2024-10-18,18.3
남원,16.3,22.1,11.3,26.0,2024-10-16,4.4,2024-10-24,100.9,1.6,9.3,2024-10-20,15.5,2024-10-20,84,38,2024-10-24,13.1,15.4,153.0,-,5.9,"1,004.2","1,019.9","1,030.8",2024-10-20,"1,010.5",2024-10-01,17.8
장수,14.0,20.8,8.9,24.2,2024-10-16,2.4,2024-10-25,101.8,1.1,7.1,2024-10-23,13.4,2024-10-19,85,33,2024-10-30,11.0,13.5,128.6,-,5.8,972.3,"1,019.9","1,031.3",2024-10-20,"1,009.8",2024-10-19,16.1
고창군,16.7,22.0,12.2,26.5,2024-10-18,6.3,2024-10-24,110.6,1.3,6.1,2024-10-18,11.4,2024-10-18,81,32,2024-10-02,13.0,15.3,136.9,355.14,5.7,"1,012.1","1,019.1","1,029.1",2024-10-20,"1,009.5",2024-10-18,17.7
영광군,16.7,22.2,12.2,26.1,2024-10-17,6.8,2024-10-25,102.8,1.2,6.1,2024-10-02,11.2,2024-10-23,81,31,2024-10-02,13.0,15.3,157.0,357.56,5.7,"1,015.1","1,019.5","1,029.5",2024-10-20,"1,010.1",2024-10-18,18.3
김해시,18.4,24.0,14.6,29.8,2024-10-01,8.9,2024-10-24,182.4,1.4,7.1,2024-10-23,13.1,2024-10-23,77,30,2024-10-02,13.8,16.1,130.2,326.77,6.2,"1,013.4","1,019.8","1,032.1",2024-10-20,"1,007.9",2024-10-01,19.4
순창군,16.0,22.3,11.2,26.2,2024-10-16,4.8,2024-10-25,87.5,1.3,6.5,2024-10-23,13.1,2024-10-19,79,25,2024-10-05,11.7,14.1,145.7,366.19,5.9,"1,004.7","1,020.0","1,030.6",2024-10-20,"1,010.8",2024-10-18,20.8
북창원,19.0,23.8,15.0,30.3,2024-10-01,9.1,2024-10-24,217.4,1.6,6.2,2024-10-02,13.5,2024-10-20,75,29,2024-10-02,13.9,16.3,136.5,351.45,6.1,"1,012.9","1,018.9","1,031.3",2024-10-20,"1,007.2",2024-10-01,18.7
양산시,19.5,24.4,15.2,30.5,2024-10-01,8.7,2024-10-24,197.9,1.9,6.0,2024-10-19,12.9,2024-10-19,76,24,2024-10-02,14.6,17.0,134.6,345.43,6.2,"1,017.6","1,018.3","1,030.7",2024-10-20,"1,006.6",2024-10-01,17.5
보성군,18.0,23.3,13.4,27.6,2024-10-01,8.6,2024-10-24,150.1,2.3,9.0,2024-10-20,13.1,2024-10-20,81,33,2024-10-24,14.3,16.7,162.4,391.60,6.2,"1,019.4","1,019.6","1,030.7",2024-10-20,"1,009.8",2024-10-01,18.9
강진군,17.9,23.3,13.6,28.3,2024-10-16,7.7,2024-10-25,127.5,1.3,6.9,2024-10-20,13.2,2024-10-20,82,37,2024-10-24,14.2,16.6,126.5,324.19,6.2,"1,016.3","1,018.2","1,028.3",2024-10-20,"1,009.3",2024-10-01,19.1
장흥,17.5,23.0,12.7,27.7,2024-10-16,7.3,2024-10-25,139.8,1.2,5.8,2024-10-02,10.1,2024-10-20,81,32,2024-10-24,13.6,16.0,154.8,-,6.3,"1,013.8","1,019.0","1,029.4",2024-10-20,"1,009.8",2024-10-01,18.6
해남,17.7,23.1,12.8,27.6,2024-10-18,6.6,2024-10-25,126.1,1.7,7.1,2024-10-20,13.0,2024-10-01,82,26,2024-10-11,14.1,16.5,136.8,-,6.2,"1,017.5","1,019.4","1,029.3",2024-10-20,"1,010.8",2024-10-01,19.9
고흥,18.1,23.6,13.6,27.3,2024-10-01,6.2,2024-10-24,140.3,1.5,7.1,2024-10-23,14.2,2024-10-23,78,25,2024-10-24,13.8,16.2,152.3,361.65,6.1,"1,012.7","1,018.8","1,029.5",2024-10-20,"1,009.0",2024-10-01,18.9
의령군,17.2,23.7,12.2,29.9,2024-10-19,5.3,2024-10-24,136.0,1.3,8.4,2024-10-23,15.5,2024-10-23,82,29,2024-10-02,13.6,16.0,143.6,364.83,6.1,"1,017.6","1,019.3","1,031.7",2024-10-20,"1,007.5",2024-10-01,18.8
함양군,15.5,22.3,10.8,27.6,2024-10-01,3.5,2024-10-24,100.2,1.0,6.5,2024-10-23,14.2,2024-10-23,86,25,2024-10-24,12.7,15.0,129.1,349.97,6.4,"1,001.9","1,019.9","1,032.3",2024-10-20,"1,008.7",2024-10-01,18.5
광양시,18.5,23.3,14.8,28.7,2024-10-01,7.2,2024-10-24,146.9,1.7,6.4,2024-10-20,13.5,2024-10-20,72,30,2024-10-02,12.9,15.3,141.8,367.43,5.9,"1,009.1","1,019.4","1,031.1",2024-10-20,"1,008.7",2024-10-01,19.1
진도군,17.7,22.4,13.7,26.2,2024-10-01,8.5,2024-10-25,159.4,2.0,8.9,2024-10-01,15.0,2024-10-01,81,38,2024-10-04,14.1,16.5,125.8,-,6.3,"1,017.6","1,018.7","1,028.3",2024-10-20,"1,010.5",2024-10-01,18.6
봉화,14.4,20.4,9.7,23.1,2024-10-01,4.4,2024-10-25,105.7,1.0,5.0,2024-10-23,14.1,2024-10-23,84,30,2024-10-02,11.3,13.6,130.1,-,6.0,982.5,"1,020.7","1,034.9",2024-10-20,"1,007.7",2024-10-01,15.4
영주,14.4,20.2,9.5,23.1,2024-10-12,3.5,2024-10-24,138.0,1.3,7.9,2024-10-01,16.0,2024-10-23,86,26,2024-10-12,11.5,13.9,143.3,-,5.9,995.4,"1,020.5","1,034.7",2024-10-20,"1,008.6",2024-10-01,18.2
문경,14.8,20.4,10.4,24.1,2024-10-12,4.9,2024-10-25,100.8,1.2,7.2,2024-10-23,13.3,2024-10-23,85,32,2024-10-02,11.9,14.3,136.1,-,5.8,999.3,"1,019.8","1,033.6",2024-10-20,"1,008.8",2024-10-01,17.0
청송군,14.5,21.1,9.9,25.5,2024-10-01,4.7,2024-10-24,51.5,1.3,7.3,2024-10-23,16.4,2024-10-23,88,34,2024-10-02,12.2,14.6,111.3,324.75,6.1,995.4,"1,020.2","1,034.1",2024-10-20,"1,007.3",2024-10-01,18.4
영덕,16.3,21.2,12.4,26.6,2024-10-01,7.8,2024-10-25,119.2,2.4,12.4,2024-10-23,22.4,2024-10-23,81,31,2024-10-02,12.7,15.0,137.2,-,5.9,"1,015.2","1,020.0","1,034.4",2024-10-20,"1,007.3",2024-10-23,18.8
의성,15.3,21.7,10.4,26.3,2024-10-01,4.6,2024-10-25,48.5,0.8,6.1,2024-10-23,11.8,2024-10-23,86,26,2024-10-02,12.4,14.7,110.4,-,6.4,"1,009.7","1,019.4","1,033.3",2024-10-20,"1,007.6",2024-10-01,18.2
구미,15.8,21.3,11.7,28.2,2024-10-01,6.2,2024-10-25,56.4,0.6,4.6,2024-10-23,10.8,2024-10-23,78,23,2024-10-02,11.4,13.8,138.2,-,6.0,"1,014.8","1,020.6","1,034.2",2024-10-20,"1,009.3",2024-10-01,18.3
영천,16.1,21.6,11.4,28.7,2024-10-01,5.9,2024-10-25,79.8,1.2,6.8,2024-10-23,14.0,2024-10-23,82,25,2024-10-02,12.5,14.8,122.9,-,6.1,"1,008.8","1,020.2","1,033.4",2024-10-20,"1,007.8",2024-10-01,18.1
경주시,17.1,22.3,12.7,29.5,2024-10-01,7.5,2024-10-30,100.8,2.0,8.4,2024-10-19,15.3,2024-10-23,79,22,2024-10-02,13.0,15.3,126.5,330.81,6.3,"1,015.4","1,020.2","1,033.7",2024-10-20,"1,007.6",2024-10-01,19.8
거창,14.4,21.0,9.7,25.5,2024-10-19,2.9,2024-10-24,94.4,0.9,6.0,2024-10-23,11.5,2024-10-23,85,30,2024-10-24,11.5,13.8,138.3,-,6.1,993.0,"1,020.0","1,032.6",2024-10-20,"1,008.6",2024-10-01,17.7
합천,16.6,22.6,12.3,28.6,2024-10-19,6.3,2024-10-24,116.1,0.8,4.7,2024-10-19,9.6,2024-10-19,84,29,2024-10-02,13.4,15.6,133.8,-,6.0,"1,016.5","1,019.7","1,032.5",2024-10-20,"1,008.2",2024-10-01,19.6
밀양,17.7,23.5,12.8,29.2,2024-10-01,6.8,2024-10-24,125.8,0.8,5.3,2024-10-23,10.1,2024-10-19,70,22,2024-10-02,11.6,14.1,157.9,-,5.9,"1,018.1","1,019.1","1,031.6",2024-10-20,"1,007.2",2024-10-01,18.9
산청,15.6,21.9,11.4,27.0,2024-10-19,3.9,2024-10-24,122.6,1.0,8.3,2024-10-23,17.8,2024-10-23,85,28,2024-10-24,12.7,15.0,125.8,-,6.1,"1,004.1","1,020.5","1,033.0",2024-10-20,"1,009.3",2024-10-01,18.5
